order_id,customer,product,quantity,price,order_date,email,address
5dc1d7fc-ea0b-458b-a17c-176e08294c6d,ANGELA KIDD MD,laptop C,17.0,478.08,08/06/2024,invalid,"7727 Alicia Loaf Suite 135, Obrienton, MP 22028"
51a2ae80-c3e8-430e-a025-25b16375df62,RYAN BEARD,laptop D,1.0,417.89,09/21/2024,elowe@example.com,"624 Kathy Dam, Lisamouth, MP 45638"
86da28e0-e01b-4169-bfa1-e63b34a38372,MR. GREGORY MELENDEZ DDS,laptop A,20.0,110.51,2024-10-01,robertsjose@example.org,"USCGC Mclaughlin, FPO AA 54392"
5db3808c-2850-40fe-99a9-c78bdcb77c76,TRACY OSBORNE,laptop C,6.0,379.51,2024-10-31,vmurphy@example.org,"9917 Salas Tunnel Apt. 664, Arthurberg, TN 29798"
bb402673-47b0-4acb-bde7-46058f40a04d,BARBARA TERRY,laptop A,24.0,184.23,2025-02-04,invalid,"5744 Reynolds Wells Suite 200, South Randybury, NC 28893"
cd434945-5385-40f3-886c-666e361e945b,CHEYENNE ROGERS,laptop C,10.0,480.74,2024-05-24,,"24363 Crawford Tunnel Suite 796, Port Tinaberg, TX 08115"
0ad51b6f-7c02-4eb7-9609-fa3442400bcb,THOMAS SMITH,laptop B,9.0,396.9,08/18/2024,huntmichael@example.org,"1106 Jessica Flats Apt. 937, Mccarthytown, NE 72422"
b98e7605-2624-41af-b1d7-f0a353c9c324,ADAM MCKENZIE,laptop C,13.0,48.67,2024-03-08,,"2932 Smith Mission, Lake Kathleen, NE 37954"
8ebcaa24-96da-44d6-ab6e-5ccdad849f85,TAMMY ALVAREZ,laptop C,27.0,29.89,2024-12-25,vrobinson@example.net,"7994 Jimenez Cove Apt. 673, East Jaclynburgh, KY 57971"
da9fe52e-472e-4c28-9fd7-375be07a6836,DUSTIN WATERS,laptop A,24.0,334.04,11-Sep-2024,,"612 Christy Isle Apt. 594, Colemanton, FL 30818"
ded20baa-77c7-4e0d-b561-144a5f034115,ANDREW AGUIRRE,laptop D,36.0,478.12,09/15/2024,invalid,"6525 Yang Brooks, Chadland, SC 99643"
